name,slug,value,date_of_information,ranking,region
"Trinidad and Tobago","trinidad-and-tobago","-1.03","2021 est.","198","Central America and the Caribbean"
"Korea, North","korea-north","-1.10","2015 est.","199","East and Southeast Asia"
"Chad","chad","-1.20","2021 est.","200","Africa"
"Brunei","brunei","-1.59","2021 est.","201","East and Southeast Asia"
"Haiti","haiti","-1.80","2021 est.","202","Central America and the Caribbean"
"American Samoa","american-samoa","-1.87","2021 est.","203","Australia and Oceania"
"Sudan","sudan","-1.87","2021 est.","204","Africa"
"Virgin Islands","virgin-islands","-2.15","2020 est.","205","Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","-2.20","2021 est.","206","Africa"
"Tonga","tonga","-2.67","2021 est.","207","Australia and Oceania"
"Suriname","suriname","-2.73","2021 est.","208","South America"
"Micronesia, Federated States of","micronesia-federated-states-of","-3.19","2021 est.","209","Australia and Oceania"
"Syria","syria","-3.87","2020 est.","210","Middle East"
"Fiji","fiji","-5.11","2021 est.","211","Australia and Oceania"
"South Sudan","south-sudan","-5.20","2017 est.","212","Africa"
"Yemen","yemen","-5.90","2017 est.","213","Middle East"
"Sint Maarten","sint-maarten","-6.60","2018 est.","214","Central America and the Caribbean"
"San Marino","san-marino","-6.65","2020 est.","215","Europe"
"Lebanon","lebanon","-7.00","2021 est.","216","Middle East"
"Samoa","samoa","-7.08","2021 est.","217","Australia and Oceania"
"Anguilla","anguilla","-8.50","2009 est.","218","Central America and the Caribbean"
"Kuwait","kuwait","-8.86","2020 est.","219","Middle East"
"Northern Mariana Islands","northern-mariana-islands","-11.14","2019 est.","220","Australia and Oceania"
"Palau","palau","-13.33","2021 est.","221","Australia and Oceania"
"Burma","burma","-17.91","2021 est.","222","East and Southeast Asia"
"Venezuela","venezuela","-19.67","2018 est.","223","South America"
"Afghanistan","afghanistan","-20.74","2021 est.","224","South Asia"
