name,slug,value,date_of_information,ranking,region
"Marshall Islands","marshall-islands","$171,201,000","2020 est.","214","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","$167,800,000","2015 est.","215","Australia and Oceania"
"Cook Islands","cook-islands","$109,300,000","2011 est.","216","Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$95,350,000","2010 est.","217","North America"
"Nauru","nauru","$94,796,000","2018 est.","218","Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$90,000,000","2004 est.","219","South America"
"Wallis and Futuna","wallis-and-futuna","$61,170,000","2004 est.","220","Australia and Oceania"
"Tuvalu","tuvalu","$51,187,000","2021 est.","221","Australia and Oceania"
"Montserrat","montserrat","$39,440,000","2017 est.","222","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$20,530,000","2010 est.","223","Africa"
"Tokelau","tokelau","$15,792,720","2015 est.","224","Australia and Oceania"
"Niue","niue","$9,038,000","2004 est.","225","Australia and Oceania"
