name,slug,value,date_of_information,ranking,region
"Saint Kitts and Nevis","saint-kitts-and-nevis","383","2002","200","Central America and the Caribbean"
"Andorra","andorra","320","2019","201","Europe"
"Cook Islands","cook-islands","295","2018","202","Australia and Oceania"
"San Marino","san-marino","292","2006","203","Europe"
"Guernsey","guernsey","260","2017","204","Europe"
"American Samoa","american-samoa","241","2016","205","Australia and Oceania"
"Niue","niue","234","2017","206","Australia and Oceania"
"British Virgin Islands","british-virgin-islands","200","2007","207","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","198","2002","208","Africa"
"Anguilla","anguilla","175","2004","209","Central America and the Caribbean"
"Christmas Island","christmas-island","142","2011","210","Australia and Oceania"
"Palau","palau","125","2018","211","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","121","2003","212","Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","117","2009","213","North America"
"Maldives","maldives","93","2018","214","South Asia"
"Norfolk Island","norfolk-island","80","2008","215","Australia and Oceania"
"Sint Maarten","sint-maarten","53","","216","Central America and the Caribbean"
"Saint Barthelemy","saint-barthelemy","40","","217","Central America and the Caribbean"
"Svalbard","svalbard","40","2020","218","Europe"
"Nauru","nauru","30","2002","219","Australia and Oceania"
"Gibraltar","gibraltar","29","2007","220","Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","22","2007","221","Australia and Oceania"
"Tokelau","tokelau","10","2019","222","Australia and Oceania"
"Tuvalu","tuvalu","8","2011","223","Australia and Oceania"
